element,1.00,1.25,1.50,1.75,1.90,2.00,2.25,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00
H,2.0989e-01,4.1815e-01,5.8714e-01,7.2311e-01,7.9760e-01,8.4183e-01,9.6790e-01,1.1591e+00,1.5814e+00,1.8932e+00,2.1695e+00,2.4815e+00,2.7614e+00,3.0378e+00,3.2407e+00
He,1.7447e-02,3.9967e-02,5.9823e-02,8.4245e-02,9.6885e-02,1.0796e-01,1.2795e-01,1.3809e-01,1.4492e-01,1.8138e-01,2.3060e-01,2.7338e-01,3.2018e-01,3.6587e-01,4.2810e-01
Li,1.7273e-11,1.9073e-11,2.2247e-11,2.0828e-11,1.7839e-11,1.0479e-11,1.3234e-12,5.3982e-11,8.3067e-09,1.0282e-09,2.5203e-10,2.0938e-10,1.1236e-10,4.6610e-11,6.1190e-13
Be,6.9732e-13,8.0374e-14,7.2971e-14,1.2241e-14,6.4779e-14,2.1314e-14,9.9162e-15,2.7978e-11,4.8507e-10,3.2257e-09,8.4641e-10,7.5805e-10,3.7852e-10,1.4372e-10,1.8637e-12
B,4.2304e-28,1.8492e-27,3.9239e-28,2.6288e-29,1.9504e-29,1.0543e-29,7.6567e-30,5.3978e-27,4.8903e-21,5.7914e-25,9.3646e-26,1.3544e-25,5.6184e-21,3.2269e-38,-6.6546e-29
C,2.1234e-05,3.1115e-04,9.6807e-04,1.9289e-03,2.4741e-03,2.9752e-03,4.0369e-03,4.1015e-03,1.9937e-03,6.2110e-04,4.5529e-04,3.1835e-04,2.6351e-04,2.4565e-04,1.2846e-04
N,3.9796e-07,1.6437e-06,3.1802e-06,4.2561e-06,5.0740e-06,5.5808e-06,5.8159e-06,4.1686e-06,6.2731e-06,1.2896e-03,1.8815e-03,1.6013e-03,1.7180e-03,1.9973e-03,2.6756e-03
O,1.5564e-06,7.7132e-06,1.9754e-05,2.9957e-05,3.3609e-05,3.6219e-05,4.4073e-05,4.8520e-05,3.2631e-05,3.6146e-05,4.9991e-05,4.0704e-05,3.8177e-05,3.6966e-05,4.1379e-05
F,3.0851e-10,8.4191e-09,6.5958e-08,2.5258e-07,4.1173e-07,5.7814e-07,9.8798e-07,7.8737e-07,9.3838e-08,3.2388e-08,2.6590e-08,1.1454e-08,5.4933e-09,3.6818e-09,2.9490e-10
Ne,1.8264e-07,3.2451e-06,2.5063e-05,9.5920e-05,1.5346e-04,2.1255e-04,3.4019e-04,2.5435e-04,4.4193e-05,3.1502e-05,4.0527e-05,2.4542e-05,2.1759e-05,2.2867e-05,1.9627e-05
Na,3.4012e-09,1.6065e-08,1.9827e-07,1.5506e-06,2.9291e-06,4.5229e-06,6.9791e-06,3.7686e-06,6.1562e-07,5.4700e-07,7.9731e-07,5.2096e-07,4.7785e-07,5.0291e-07,3.4308e-07
Mg,3.8852e-08,9.1278e-08,2.7468e-07,1.3169e-06,2.6714e-06,4.9339e-06,1.4263e-05,2.8069e-05,9.0162e-06,8.5645e-06,1.0787e-05,7.3637e-06,8.8697e-06,1.3261e-05,1.3606e-05
Al,3.1355e-09,6.9679e-09,1.0585e-08,1.9982e-08,3.4244e-08,5.8799e-08,1.9358e-07,4.1619e-07,1.3807e-07,1.4404e-07,2.5358e-07,2.1111e-07,2.9758e-07,5.7251e-07,1.3671e-06
Si,3.5704e-08,7.4366e-08,1.0767e-07,1.4147e-07,1.6136e-07,1.8019e-07,2.6345e-07,5.1706e-07,4.0812e-07,4.8039e-07,6.1205e-07,5.9974e-07,6.9402e-07,8.7326e-07,1.0118e-06
P,4.4823e-10,9.0658e-10,1.6143e-09,2.6451e-09,2.4224e-09,2.1786e-09,2.9653e-09,6.5694e-09,6.6033e-09,9.1321e-09,1.3434e-08,1.2411e-08,1.6449e-08,2.6035e-08,3.0266e-08
S,2.5157e-08,5.2196e-08,7.5168e-08,9.7024e-08,1.0852e-07,1.1672e-07,1.3508e-07,1.5430e-07,1.9435e-07,2.3600e-07,2.7899e-07,3.2224e-07,3.6488e-07,4.0789e-07,4.5008e-07
Fe,3.1801e-08,6.5981e-08,9.4806e-08,1.2199e-07,1.3691e-07,1.4748e-07,1.6973e-07,1.9201e-07,2.4406e-07,2.9617e-07,3.4943e-07,4.0481e-07,4.5766e-07,5.0893e-07,5.5984e-07
Co,8.2868e-11,1.9766e-10,3.5273e-10,6.3802e-10,8.9615e-10,1.2859e-09,2.4820e-09,3.1111e-09,1.4586e-09,1.3970e-09,1.6288e-09,1.5794e-09,1.6121e-09,1.6961e-09,1.8065e-09
Ni,1.8255e-09,3.8948e-09,5.8574e-09,8.1286e-09,8.9599e-09,9.5599e-09,1.2849e-08,1.7756e-08,1.7800e-08,2.1021e-08,2.5325e-08,2.7433e-08,3.0890e-08,3.5282e-08,3.9656e-08
