element,13.0,15.0,18.0,20.0,25.0,30.0,40.0
H,5.1186e+00,5.6689e+00,5.9895e+00,6.0703e+00,5.8689e+00,7.3355e+00,6.7856e+00
He,1.1734e+00,1.3071e+00,1.4313e+00,1.4828e+00,1.5211e+00,1.9180e+00,2.2924e+00
Li,5.5665e-13,1.6760e-09,1.9856e-13,2.6444e-12,3.4936e-12,1.5207e-08,7.1856e-14
Be,2.3327e-19,1.1480e-16,1.2746e-23,1.3970e-22,1.5426e-23,2.4580e-22,1.2109e-23
B,1.5678e-10,1.1409e-10,1.8629e-10,1.5409e-10,1.0636e-10,1.9871e-10,9.3392e-11
C,9.7961e-03,7.7663e-03,1.8239e-02,2.6322e-02,1.7082e-02,1.2969e-02,3.8906e-02
N,7.5117e-03,1.1378e-02,8.5803e-03,9.1507e-03,9.7822e-03,1.3728e-02,2.0887e-02
O,2.3162e-02,4.6439e-02,9.7780e-02,1.2233e-01,1.8927e-01,3.5131e-01,4.3198e-01
F,1.7426e-06,6.6468e-07,6.9874e-07,9.8816e-07,1.0086e-05,1.3567e-05,2.1969e-06
Ne,3.0206e-03,5.0099e-03,3.2280e-02,3.3118e-02,4.9332e-02,1.1053e-02,1.0097e-01
Na,8.3609e-05,1.0762e-04,1.5492e-03,1.8254e-03,1.7958e-03,3.5091e-04,5.3613e-03
Mg,1.6752e-03,4.1306e-03,7.7346e-03,8.4878e-03,1.3253e-02,1.2667e-02,2.7850e-02
Al,1.2912e-04,4.2767e-04,9.0200e-04,1.0829e-03,1.6771e-03,2.2202e-03,5.1733e-03
Si,2.9591e-03,5.1246e-03,2.0059e-03,4.6792e-03,1.2141e-02,2.7049e-02,1.2287e-02
P,3.3623e-05,8.8048e-05,4.5526e-05,7.9329e-05,1.2017e-04,8.8929e-04,2.8910e-04
S,1.1658e-03,1.4596e-03,7.0152e-04,1.7549e-03,4.1097e-03,6.6617e-03,4.0799e-03
Cl,6.5321e-06,9.9912e-06,1.1468e-05,1.6962e-05,2.6297e-05,8.7892e-05,5.5334e-05
Ar,1.9219e-04,2.1569e-04,1.2639e-04,2.7459e-04,5.5066e-04,7.4356e-04,6.3353e-04
K,3.1758e-06,3.9597e-06,4.1229e-06,5.1543e-06,7.9451e-06,1.0326e-05,9.2735e-06
Ca,1.2145e-04,1.3113e-04,7.2439e-05,1.6975e-04,2.8408e-04,3.9892e-04,4.0184e-04
Sc,4.3227e-08,8.1258e-08,8.5300e-08,1.0888e-07,1.6674e-07,3.1880e-07,4.5227e-07
Ti,3.6500e-06,4.1017e-06,3.7318e-06,4.8404e-06,6.1499e-06,1.0149e-05,1.1399e-05
V,3.9869e-07,4.0444e-07,3.6086e-07,5.0440e-07,5.4067e-07,8.3078e-07,9.3355e-07
Cr,2.5503e-05,3.3893e-05,1.4086e-05,4.3234e-05,5.4308e-05,9.4610e-05,9.6871e-05
Mn,9.3271e-06,1.5228e-05,8.5182e-06,1.9435e-05,1.7504e-05,2.4944e-05,2.7104e-05
Fe,1.9161e-03,2.0594e-03,2.0690e-03,2.1687e-03,2.1610e-03,2.4613e-03,2.5432e-03
Co,4.4146e-06,5.0373e-06,1.1348e-05,1.3456e-05,1.7227e-05,8.9897e-06,3.4364e-05
Ni,1.0379e-04,1.2535e-04,1.7302e-04,1.5774e-04,1.5052e-04,1.8290e-04,2.5768e-04
Cu,8.5952e-07,2.3469e-06,1.0936e-05,1.4764e-05,2.2207e-05,1.0782e-05,5.4440e-05
Zn,2.9711e-06,4.4319e-06,1.1484e-05,1.6763e-05,2.9265e-05,5.7779e-05,1.0752e-04
Ga,1.3601e-07,3.8615e-07,9.2604e-07,1.5051e-06,2.6784e-06,6.1996e-06,1.1054e-05
Ge,4.2408e-07,1.6166e-06,6.0626e-06,9.6938e-06,1.6394e-05,6.4369e-05,9.9641e-05
