element,13.0,15.0,18.0,20.0,25.0,30.0,40.0
H,6.4432e+00,7.4450e+00,8.4634e+00,8.4343e+00,9.8012e+00,1.1046e+01,1.2902e+01
He,9.6382e-01,1.2898e+00,1.6347e+00,1.4849e+00,1.7435e+00,2.0947e+00,2.7133e+00
Li,9.0543e-11,5.3689e-14,8.3330e-14,1.2100e-11,1.3032e-13,1.5953e-13,9.5397e-13
Be,2.5884e-18,1.0065e-16,1.0360e-17,1.5924e-24,2.2802e-26,0.0000e+00,4.5117e-17
B,5.7951e-12,3.0343e-12,3.3329e-12,1.1759e-12,3.8733e-12,1.1421e-12,8.3871e-13
C,8.9479e-03,7.0842e-03,1.0795e-02,1.0681e-02,1.7939e-02,1.0049e-02,6.1605e-03
N,6.4834e-04,2.5544e-04,3.1933e-04,9.1859e-04,6.5748e-04,4.4235e-04,6.2071e-04
O,3.1631e-02,1.8374e-02,2.6402e-02,1.3642e-01,2.3864e-01,3.3302e-01,5.2330e-01
F,1.6163e-07,1.0403e-08,1.7489e-08,1.4763e-07,3.2233e-08,1.2559e-07,2.3544e-07
Ne,3.3690e-03,9.5202e-03,8.8628e-03,3.1392e-02,6.1166e-02,7.2590e-02,1.4402e-02
Na,2.3531e-05,8.5022e-05,9.0700e-05,7.8513e-05,3.5156e-04,2.9824e-04,3.9136e-05
Mg,2.7385e-03,2.7334e-03,2.5459e-03,1.0284e-02,7.5863e-03,1.2221e-02,2.9480e-02
Al,1.3213e-04,8.6978e-05,8.5452e-05,2.5840e-04,1.8691e-04,3.2324e-04,1.1151e-03
Si,3.3214e-03,1.5582e-03,5.5121e-03,4.6398e-03,4.3108e-03,5.9416e-03,3.2024e-02
P,1.7139e-05,2.6195e-06,6.0223e-06,6.3471e-06,3.4510e-06,6.5826e-06,1.1213e-04
S,1.1899e-03,5.2073e-04,2.4910e-03,1.7677e-03,1.7302e-03,2.4538e-03,1.0355e-02
Cl,2.7213e-06,3.0238e-07,3.4470e-06,9.4210e-07,9.4874e-07,1.4758e-06,1.1765e-05
Ar,1.6513e-04,6.9013e-05,3.5051e-04,2.8296e-04,2.6010e-04,3.7850e-04,1.2890e-03
K,7.0213e-07,1.1400e-07,1.7273e-06,4.0655e-07,4.4541e-07,7.0522e-07,3.2285e-06
Ca,1.1896e-04,4.3623e-05,2.0228e-04,2.3019e-04,1.9868e-04,2.9372e-04,9.1586e-04
Sc,5.6027e-09,1.1295e-09,7.8782e-09,4.7971e-09,7.1907e-09,9.3869e-09,2.2042e-08
Ti,2.2478e-06,1.6645e-06,2.3101e-06,3.0343e-06,2.6017e-06,3.7224e-06,5.8137e-06
V,1.7579e-07,3.1683e-07,1.4834e-07,1.6154e-07,1.4765e-07,1.9543e-07,3.8165e-07
Cr,2.5014e-05,6.6383e-06,3.1528e-05,4.5809e-05,4.4681e-05,6.0270e-05,8.3364e-05
Mn,4.1278e-06,1.4555e-06,5.1122e-06,6.9055e-06,5.4284e-06,9.1033e-06,1.4294e-05
Fe,1.3502e-03,1.3080e-03,1.3297e-03,1.3236e-03,1.3214e-03,1.3451e-03,1.4822e-03
Co,1.5106e-06,3.9249e-06,1.0671e-06,1.0521e-06,5.8012e-07,9.1285e-07,7.4931e-07
Ni,3.8509e-05,6.2711e-05,5.5426e-05,1.2011e-05,6.9567e-06,1.1950e-05,1.7932e-05
Cu,2.0243e-07,1.0043e-07,6.1683e-08,2.7698e-07,4.5811e-07,6.5567e-07,6.6895e-07
Zn,1.3875e-06,1.0859e-06,9.6302e-07,5.2877e-07,7.6464e-07,1.2751e-06,1.6705e-06
Ga,1.9242e-08,1.7983e-09,2.7272e-09,3.3307e-08,6.2151e-08,1.0808e-07,1.4541e-07
Ge,7.6399e-08,5.6645e-09,7.9565e-09,1.1731e-07,2.4492e-07,4.5244e-07,6.7975e-07
