element,CDD1
C,8.28e-04
N,6.49e-06
O,5.84e-03
F,3.07e-11
Ne,7.82e-05
Na,2.22e-06
Mg,3.26e-04
Al,1.65e-05
Si,9.95e-03
P,7.74e-06
S,5.18e-03
Cl,3.35e-06
Ar,9.15e-04
K,1.77e-06
Ca,7.96e-04
Sc,5.49e-09
Ti,1.70e-05
V,2.18e-06
Cr,3.61e-04
Mn,1.47e-04
Fe,1.16e-02
Co,4.93e-06
Ni,6.01e-04
Cu,1.15e-08
Zn,7.23e-08
