element,CDD2
C,4.23e-04
N,6.47e-06
O,3.64e-03
F,2.23e-11
Ne,3.99e-05
Na,1.52e-06
Mg,1.77e-04
Al,8.70e-06
Si,7.10e-03
P,4.90e-06
S,3.72e-03
Cl,2.44e-06
Ar,6.74e-04
K,1.47e-06
Ca,5.96e-04
Sc,4.49e-09
Ti,1.55e-05
V,2.14e-06
Cr,3.16e-04
Mn,1.23e-04
Fe,1.49e-02
Co,1.08e-05
Ni,1.05e-03
Cu,9.46e-08
Zn,1.55e-06
