element,WDD1
C,4.52e-04
N,2.04e-05
O,5.51e-03
F,8.95e-11
Ne,7.19e-05
Na,3.81e-06
Mg,3.20e-04
Al,1.62e-05
Si,9.77e-03
P,7.68e-06
S,5.09e-03
Cl,3.45e-06
Ar,8.96e-04
K,1.87e-06
Ca,7.76e-04
Sc,5.53e-09
Ti,2.32e-05
V,2.61e-06
Cr,3.93e-04
Mn,1.54e-04
Fe,1.20e-02
Co,6.69e-06
Ni,6.53e-04
Cu,5.49e-08
Zn,3.96e-07
