element,W70
C,4.23e-03
N,2.99e-08
O,8.31e-03
F,7.21e-12
Ne,1.15e-04
Na,6.13e-07
Mg,6.58e-04
Al,4.19e-06
Si,5.08e-03
P,2.94e-06
S,2.86e-03
Cl,4.53e-07
Ar,5.31e-04
K,5.46e-08
Ca,4.53e-04
Sc,8.56e-10
Ti,8.68e-06
V,8.37e-07
Cr,1.77e-04
Mn,1.21e-04
Fe,1.39e-02
Co,1.64e-05
Ni,1.72e-03
Cu,6.04e-08
Zn,1.19e-06
