element,W7
C,4.03e-03
N,8.29e-08
O,8.94e-03
F,2.98e-11
Ne,2.15e-04
Na,2.75e-06
Mg,3.57e-04
Al,3.65e-05
Si,5.59e-03
P,1.15e-05
S,2.71e-03
Cl,4.91e-06
Ar,4.33e-04
K,2.00e-06
Ca,2.98e-04
Sc,4.91e-09
Ti,7.06e-06
V,1.47e-06
Cr,1.62e-04
Mn,1.61e-04
Fe,1.34e-02
Co,1.76e-05
Ni,2.16e-03
Cu,4.73e-08
Zn,4.33e-07
