element,WDD2
C,7.49e-04
N,1.92e-05
O,4.11e-03
F,2.37e-11
Ne,5.03e-05
Na,1.13e-06
Mg,1.88e-04
Al,9.15e-06
Si,7.39e-03
P,5.16e-06
S,3.88e-03
Cl,2.63e-06
Ar,6.95e-04
K,1.56e-06
Ca,6.09e-04
Sc,4.64e-09
Ti,2.09e-05
V,2.27e-06
Cr,3.26e-04
Mn,1.28e-04
Fe,1.42e-02
Co,1.06e-05
Ni,1.00e-03
Cu,1.09e-07
Zn,1.47e-06
