element,WDD3
C,1.38e-03
N,1.30e-05
O,3.49e-03
F,1.21e-11
Ne,6.03e-05
Na,1.31e-06
Mg,1.11e-04
Al,5.22e-06
Si,5.66e-03
P,3.45e-06
S,2.98e-03
Cl,1.99e-06
Ar,5.39e-04
K,1.25e-06
Ca,4.72e-04
Sc,3.91e-09
Ti,1.89e-05
V,2.00e-06
Cr,2.75e-04
Mn,1.12e-04
Fe,1.56e-02
Co,1.31e-05
Ni,1.24e-03
Cu,1.46e-07
Zn,2.49e-06
