element,20.,25.,30.,40.
H,6.0703e+00,5.8689e+00,7.3355e+00,6.7856e+00
He,1.4834e+00,1.5236e+00,1.9222e+00,2.3064e+00
Li,3.0204e-13,6.1067e-13,1.5206e-08,7.1856e-14
Be,1.2171e-16,1.5752e-16,2.2402e-18,1.2109e-23
B,1.9128e-10,1.3205e-10,1.9879e-10,9.3413e-11
C,2.2725e-02,1.5652e-02,1.2600e-02,3.2951e-02
N,9.1492e-03,9.7787e-03,1.3730e-02,2.0887e-02
O,1.1644e-01,1.7891e-01,2.8141e-01,4.0755e-01
F,1.6811e-06,1.0516e-05,1.3556e-05,2.1913e-06
Ne,2.6469e-02,3.7133e-02,8.8928e-03,7.9554e-02
Na,1.3898e-03,1.2738e-03,2.4830e-04,4.0845e-03
Mg,7.4857e-03,1.1676e-02,9.4889e-03,2.4318e-02
Al,9.1826e-04,1.3776e-03,1.4964e-03,4.3167e-03
Si,5.6945e-03,9.0728e-03,2.3340e-02,1.5497e-02
P,1.0897e-04,1.5704e-04,6.3761e-04,3.9852e-04
S,2.1327e-03,2.9656e-03,7.1010e-03,5.6407e-03
Cl,2.1690e-05,2.6307e-05,6.6496e-05,6.7452e-05
Ar,3.0788e-04,4.2273e-04,9.1873e-04,9.6442e-04
K,6.4314e-06,8.2589e-06,1.4826e-05,1.8459e-05
Ca,1.3757e-04,1.9096e-04,4.1778e-04,3.8174e-04
Sc,1.3818e-07,1.8619e-07,2.4047e-07,4.2973e-07
Ti,4.5182e-06,6.9688e-06,1.1552e-05,2.3160e-05
V,4.7217e-07,6.1576e-07,1.0141e-06,1.4132e-06
Cr,2.4851e-05,3.1766e-05,6.7849e-05,7.5373e-05
Mn,1.3704e-05,1.3325e-05,3.1515e-05,2.5407e-05
Fe,1.3979e-03,2.1339e-03,3.3643e-03,4.8686e-03
Co,1.2318e-05,1.6173e-05,9.7581e-06,3.3086e-05
Ni,1.4936e-04,1.9635e-04,3.2070e-04,5.6901e-04
Cu,1.2183e-05,1.7849e-05,8.2553e-06,4.4922e-05
Zn,1.5556e-05,2.7921e-05,4.3670e-05,1.0284e-04
Ga,1.3348e-06,2.3457e-06,4.4314e-06,9.6831e-06
Ge,8.2590e-06,1.3632e-05,4.4993e-05,8.8052e-05
