element,20.,25.,30.,40.
H,7.9342e+00,5.3160e+00,8.7500e+00,3.5514e+00
He,1.6907e+00,1.3390e+00,2.0921e+00,1.1950e+00
Li,5.0968e-13,3.5553e-11,2.6298e-15,8.2472e-14
Be,1.3447e-17,1.8253e-20,7.7606e-17,2.7028e-16
B,7.4888e-11,1.9840e-11,7.8732e-11,4.1994e-14
C,1.7506e-02,1.1309e-02,1.5071e-02,4.0835e-02
N,5.1501e-03,4.0201e-03,7.3082e-03,4.1508e-03
O,6.1499e-02,1.8360e-01,1.7163e-01,4.4104e-01
F,3.6397e-06,9.1226e-06,4.9078e-07,5.1798e-07
Ne,1.5087e-02,3.7820e-02,2.7687e-02,8.7491e-02
Na,5.2078e-04,8.8409e-04,7.8757e-04,2.5027e-03
Mg,3.6030e-03,1.0530e-02,8.7944e-03,1.8333e-02
Al,3.1716e-04,1.0313e-03,8.7830e-04,2.6680e-03
Si,3.5789e-03,9.5681e-03,1.0399e-02,1.2960e-02
P,3.1570e-05,9.4161e-05,1.1765e-04,1.7500e-04
S,1.6110e-03,3.3149e-03,3.8209e-03,4.9195e-03
Cl,1.0287e-05,1.6676e-05,2.3563e-05,3.7606e-05
Ar,2.3646e-04,4.5421e-04,5.1059e-04,6.8636e-04
K,3.8610e-06,5.0535e-06,7.2741e-06,7.7151e-06
Ca,1.2683e-04,2.5045e-04,2.3835e-04,3.6768e-04
Sc,4.0573e-08,9.1809e-08,9.8682e-08,1.5127e-07
Ti,2.2119e-06,4.9602e-06,6.4105e-06,1.5470e-05
V,2.1454e-07,3.5766e-07,4.9397e-07,1.2982e-06
Cr,1.0640e-05,2.8346e-05,3.3157e-05,5.3587e-05
Mn,5.7798e-06,7.7642e-06,1.0634e-05,8.9769e-06
Fe,7.3552e-04,2.1971e-03,2.0420e-03,5.2393e-03
Co,4.1163e-06,8.6088e-06,1.1181e-05,2.4127e-05
Ni,5.8697e-05,1.1448e-04,1.4308e-04,4.0154e-04
Cu,2.2084e-06,7.7405e-06,1.2840e-06,1.8054e-05
Zn,2.8979e-06,1.7357e-05,2.6491e-06,5.0638e-05
Ga,1.6855e-07,1.2606e-06,5.0323e-08,4.1459e-06
Ge,5.7833e-07,6.5606e-06,5.2782e-07,2.9038e-05
