element,20.,25.,30.,40.
H,8.5110e+00,8.0766e+00,9.5391e+00,7.3878e+00
He,1.7281e+00,1.7856e+00,2.0302e+00,1.6709e+00
Li,2.5465e-13,1.5320e-11,6.6351e-14,4.1137e-13
Be,4.5466e-17,2.4899e-17,4.5286e-17,1.1700e-16
B,1.7822e-10,1.7501e-11,4.2719e-11,1.8584e-12
C,1.1502e-02,1.0954e-02,1.2956e-02,3.5300e-02
N,2.9682e-03,3.0152e-03,3.9629e-03,2.8135e-03
O,5.4559e-02,1.5263e-01,2.0997e-01,4.3202e-01
F,1.7134e-06,6.4695e-06,3.7834e-07,4.7789e-07
Ne,1.0579e-02,3.4478e-02,2.6024e-02,7.0464e-02
Na,2.7492e-04,4.9657e-04,5.0152e-04,1.4042e-03
Mg,3.5468e-03,1.0145e-02,8.5629e-03,1.7857e-02
Al,2.1326e-04,6.6437e-04,6.2678e-04,1.6309e-03
Si,3.7219e-03,6.6950e-03,1.1911e-02,1.7528e-02
P,2.2197e-05,5.0274e-05,7.5477e-05,1.1213e-04
S,1.3089e-03,2.1684e-03,4.4781e-03,6.3534e-03
Cl,6.0111e-06,9.0260e-06,1.6495e-05,2.5389e-05
Ar,1.7783e-04,2.9645e-04,6.0702e-04,8.7055e-04
K,2.3542e-06,2.8475e-06,5.9130e-06,6.7783e-06
Ca,9.8790e-05,1.7614e-04,3.4231e-04,5.2443e-04
Sc,2.5173e-08,4.7284e-08,6.1747e-08,8.7800e-08
Ti,1.6346e-06,4.2964e-06,5.9890e-06,1.2414e-05
V,1.2792e-07,4.0658e-07,4.5625e-07,8.6543e-07
Cr,7.9533e-06,2.2351e-05,3.4807e-05,6.2184e-05
Mn,3.4262e-06,5.0709e-06,7.9505e-06,9.8771e-06
Fe,6.5172e-04,1.8258e-03,2.5019e-03,5.1544e-03
Co,2.2459e-06,7.2488e-06,8.0056e-06,1.4699e-05
Ni,4.0467e-05,8.9672e-05,1.2378e-04,2.7773e-04
Cu,1.0969e-06,3.9648e-06,1.4091e-06,9.5848e-06
Zn,1.8324e-06,1.1101e-05,5.9834e-06,3.0645e-05
Ga,9.2604e-08,6.1910e-07,2.1935e-07,2.2415e-06
Ge,3.0081e-07,3.1128e-06,1.2046e-06,1.4689e-05
