element,20.,25.,30.,40.
H,8.9473e+00,1.0165e+01,1.0136e+01,1.0290e+01
He,1.7565e+00,2.1234e+00,1.9833e+00,2.0309e+00
Li,6.1725e-14,1.4694e-14,1.1456e-13,6.6018e-13
Be,6.9687e-17,4.3720e-17,2.0836e-17,1.0539e-18
B,2.5640e-10,1.5731e-11,1.5477e-11,3.2325e-12
C,6.9587e-03,1.0684e-02,1.1356e-02,3.1112e-02
N,1.3177e-03,2.2551e-03,1.4324e-03,1.8019e-03
O,4.9308e-02,1.2921e-01,2.3897e-01,4.2520e-01
F,2.5625e-07,4.4622e-06,2.9328e-07,4.4756e-07
Ne,7.1699e-03,3.1950e-02,2.4766e-02,5.7582e-02
Na,8.8935e-05,2.0344e-04,2.8513e-04,5.7322e-04
Mg,3.5042e-03,9.8528e-03,8.3877e-03,1.7497e-02
Al,1.3467e-04,3.8678e-04,4.3648e-04,8.4637e-04
Si,3.8301e-03,4.5215e-03,1.3055e-02,2.0983e-02
P,1.5106e-05,1.7076e-05,4.3577e-05,6.4558e-05
S,1.0804e-03,1.3011e-03,4.9755e-03,7.4379e-03
Cl,2.7765e-06,3.2396e-06,1.1148e-05,1.6148e-05
Ar,1.3348e-04,1.7712e-04,6.7998e-04,1.0099e-03
K,1.2144e-06,1.1787e-06,4.8835e-06,6.0696e-06
Ca,7.7582e-05,1.1994e-04,4.2094e-04,6.4300e-04
Sc,1.3522e-08,1.3602e-08,3.3804e-08,3.9787e-08
Ti,1.1979e-06,3.7943e-06,5.6699e-06,1.0102e-05
V,6.2402e-08,4.4358e-07,4.2770e-07,5.3808e-07
Cr,5.9205e-06,1.7817e-05,3.6055e-05,6.8688e-05
Mn,1.6456e-06,3.0335e-06,5.9209e-06,1.0558e-05
Fe,5.8833e-04,1.5449e-03,2.8498e-03,5.0903e-03
Co,8.3117e-07,6.2200e-06,5.6034e-06,7.5678e-06
Ni,2.6677e-05,7.0910e-05,1.0918e-04,1.8407e-04
Cu,2.5610e-07,1.1088e-06,1.5036e-06,3.1783e-06
Zn,1.0263e-06,6.3686e-06,8.5057e-06,1.5520e-05
Ga,3.5148e-08,1.3379e-07,3.4721e-07,8.0097e-07
Ge,9.0876e-08,5.0467e-07,1.7165e-06,3.8341e-06
